Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
"pcclKernel_AllReduce_RING_LL_Sum___ali_bfloat16(nccl...           NaN       0.000us           NaN       0.000us       0.000us        6.398s        43.29%        6.398s        6.398s           0 b           0 b           0 b           0 b             1  
gemm_ktype0_aiu1_mtype1_dtypeBF16xBF16xFP32xBF16_til...           NaN       0.000us           NaN       0.000us       0.000us        2.767s        18.72%        2.767s       1.920ms           0 b           0 b           0 b           0 b          1441  
gemm_ktype0_aiu1_mtype1_dtypeBF16xBF16xFP32xBF16_til...           NaN       0.000us           NaN       0.000us       0.000us        1.620s        10.96%        1.620s       1.445ms           0 b           0 b           0 b           0 b          1121  
void kDequantizeBlockwise<__nv_bfloat16, 512, 64, 8,...           NaN       0.000us           NaN       0.000us       0.000us        1.015s         6.87%        1.015s     604.211us           0 b           0 b           0 b           0 b          1680  
void flash_bwd_dq_dk_dv_loop_seqk_parallel_kernel<Fl...           NaN       0.000us           NaN       0.000us       0.000us     361.437ms         2.45%     361.437ms       4.518ms           0 b           0 b           0 b           0 b            80  
void at::native::vectorized_elementwise_kernel<4, at...           NaN       0.000us           NaN       0.000us       0.000us     302.445ms         2.05%     302.445ms     110.786us           0 b           0 b           0 b           0 b          2730  
gemm_ktype0_aiu1_mtype1_dtypeBF16xBF16xFP32xBF16_til...           NaN       0.000us           NaN       0.000us       0.000us     233.524ms         1.58%     233.524ms       1.460ms           0 b           0 b           0 b           0 b           160  
void flash_fwd_kernel<Flash_fwd_kernel_traits<128, 1...           NaN       0.000us           NaN       0.000us       0.000us     219.554ms         1.49%     219.554ms       1.372ms           0 b           0 b           0 b           0 b           160  
void at::native::vectorized_elementwise_kernel<4, at...           NaN       0.000us           NaN       0.000us       0.000us     173.768ms         1.18%     173.768ms     103.433us           0 b           0 b           0 b           0 b          1680  
void at::native::elementwise_kernel<128, 4, at::nati...           NaN       0.000us           NaN       0.000us       0.000us     160.092ms         1.08%     160.092ms     111.021us           0 b           0 b           0 b           0 b          1442  
void at::native::(anonymous namespace)::fused_dropou...           NaN       0.000us           NaN       0.000us       0.000us     129.036ms         0.87%     129.036ms     115.210us           0 b           0 b           0 b           0 b          1120  
